RAPORT: 50
487 454 1114
697 638 1615
977 892 2313
1432 1303 3406
2053 1895 4963
2933 2719 7324
4214 3823 10669
6313 5426 15479
9283 7732 22463
13756 11023 32723
19881 15924 47227
28936 22844 68609
42329 32892 99453
61873 47768 144608
RAPORT: 9
49 46 45
75 67 73
116 88 95
162 106 132
219 152 218
295 234 338
416 329 493
564 470 776
811 670 1213
1136 935 1856
1623 1307 2694
2362 1861 3869
3460 2626 5541
5015 3768 8023
7317 5430 11989
10581 7607 17752
15262 10613 26092
22136 15233 38128
32262 21854 55678
46513 31707 81344
66503 45973 119107
RAPORT: 8
44 37 53
68 58 92
96 66 140
111 74 183
155 98 304
234 137 427
341 199 617
481 285 875
688 415 1216
1020 561 1715
1451 810 2495
2043 1157 3614
2921 1700 5307
4208 2473 7709
6019 3618 11347
8664 5179 16530
12541 7452 23910
18287 10911 34718
26496 15874 50619
38664 23064 73503
56002 33427 107007
RAPORT: 7
59 38 42
90 60 66
131 89 103
182 117 173
251 155 280
348 231 439
505 322 619
734 453 937
1022 593 1338
1486 792 1987
2159 1122 2920
3087 1662 4305
4315 2430 6305
6066 3516 9266
8656 5065 13482
12448 7216 19897
17892 10518 28776
25934 15294 42156
37772 21796 61696
54622 31792 89401
79218 46771 128956
RAPORT: 6
44 47 51
69 75 71
118 109 103
154 142 151
219 186 250
281 231 393
369 294 599
481 381 924
679 512 1306
973 718 1930
1382 988 2704
1991 1444 3971
2980 1976 5829
4352 2892 8452
6213 4184 12415
9102 6011 18183
13221 8579 26549
19275 12218 38659
27865 17818 56639
40286 25996 81843
58864 37808 118496
RAPORT: 5
54 49 31
82 75 57
111 97 84
163 105 118
261 153 200
364 233 327
485 303 524
690 424 819
959 650 1235
1407 926 1822
1952 1385 2670
2766 1954 3970
3990 2809 5995
5664 4062 8965
8184 5835 13172
11739 8316 19250
17074 11976 28070
24705 16993 41438
35833 24547 60356
51979 35061 87472
75626 50411 127399
RAPORT: 4
41 57 44
53 89 70
93 123 126
117 147 193
175 212 289
242 300 427
367 421 670
550 550 964
767 777 1393
1076 1105 2021
1522 1548 2952
2189 2176 4396
3155 3068 6351
4475 4337 9531
6426 6160 14103
9382 8591 20750
13772 12178 30146
20084 17409 44173
29368 24863 63966
42283 35962 92999
60928 51117 136422
RAPORT: 3
47 48 41
75 73 57
111 107 100
158 109 151
211 139 250
301 184 357
415 281 519
580 400 810
788 575 1193
1054 820 1780
1481 1110 2570
2171 1608 3692
3151 2280 5410
4557 3216 7923
6561 4458 11575
9379 6255 16870
13635 9043 24973
19693 13005 36354
28590 18699 53219
41091 27022 77550
59462 39388 112967
RAPORT: 2
40 50 47
62 79 81
100 123 122
132 154 196
203 226 281
293 300 409
422 408 598
585 553 909
870 747 1421
1229 1059 2096
1686 1501 3168
2432 2086 4785
3522 2945 6991
5183 4088 10347
7452 5767 14962
10845 8294 21887
15694 11828 31899
22936 17046 46432
33305 24577 67490
47992 35167 98665
69611 51071 143529
RAPORT: 1
44 37 59
70 53 102
101 79 168
135 98 248
222 164 375
309 249 565
489 336 808
689 470 1146
949 688 1696
1439 949 2461
2100 1342 3638
3049 1919 5279
4502 2794 7612
6522 4075 11134
9459 5787 16093
13758 8373 23722
19823 12176 34635
28615 17695 50465
41978 25385 73215
60749 36630 106816
87297 53616 155643
